Title,Author,Num_shelved_booktok,Goodreads URL,Image URL,avg rating,num_ratings,year_published
The Seven Husbands of Evelyn Hugo (Hardcover),Taylor Jenkins Reid,1023,https://www.goodreads.com/book/show/32620332-the-seven-husbands-of-evelyn-hugo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1664458703l/32620332._SY75_.jpg,4.41,"3,340,727 ",  2017
It Ends with Us (It Ends with Us #1),Colleen Hoover,875,https://www.goodreads.com/book/show/27362503-it-ends-with-us,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1688011813l/27362503._SY75_.jpg,4.14,"3,863,992 ",  2016
The Song of Achilles (Paperback),Madeline Miller,806,https://www.goodreads.com/book/show/13623848-the-song-of-achilles,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1357177533l/13623848._SY75_.jpg,4.32,"1,628,438 ",  2011
"The Cruel Prince (The Folk of the Air, #1)",Holly Black,783,https://www.goodreads.com/book/show/26032825-the-cruel-prince,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1574535986l/26032825._SY75_.jpg,4.03,"1,378,006 ",  2018
"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,761,https://www.goodreads.com/book/show/50659467-a-court-of-thorns-and-roses,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1620324329l/50659467._SY75_.jpg,4.18,"3,068,237 ",  2015
The Love Hypothesis (Paperback),Ali Hazelwood,720,https://www.goodreads.com/book/show/56732449-the-love-hypothesis,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1611937942l/56732449._SX50_.jpg,4.13,"1,508,362 ",  2021
The Invisible Life of Addie LaRue (Hardcover),Victoria Schwab,655,https://www.goodreads.com/book/show/50623864-the-invisible-life-of-addie-larue,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1584633432l/50623864._SY75_.jpg,4.18,"1,178,268 ",  2020
"Six of Crows (Six of Crows, #1)",Leigh Bardugo,611,https://www.goodreads.com/book/show/23437156-six-of-crows,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1651710803l/23437156._SY75_.jpg,4.48,"1,008,395 ",  2015
"From Blood and Ash (Blood and Ash, #1)",Jennifer L. Armentrout,570,https://www.goodreads.com/book/show/52831200-from-blood-and-ash,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1585598504l/52831200._SX50_.jpg,4.23,"648,299 ",  2020
"Red, White & Royal Blue (Paperback)",Casey McQuiston,570,https://www.goodreads.com/book/show/41150487-red-white-royal-blue,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1566742512l/41150487._SY75_.jpg,4.08,"1,070,667 ",  2019
"A Good Girl's Guide to Murder (A Good Girl's Guide to Murder, #1)",Holly  Jackson,566,https://www.goodreads.com/book/show/40916679-a-good-girl-s-guide-to-murder,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1545494980l/40916679._SY75_.jpg,4.32,"1,316,558 ",  2019
"They Both Die at the End (Death-Cast, #1)",Adam Silvera,543,https://www.goodreads.com/book/show/33385229-they-both-die-at-the-end,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1494333138l/33385229._SY75_.jpg,3.76,"785,013 ",  2017
"The Inheritance Games (The Inheritance Games, #1)",Jennifer Lynn Barnes,532,https://www.goodreads.com/book/show/52439531-the-inheritance-games,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1587396413l/52439531._SY75_.jpg,4.15,"825,954 ",  2020
"Fourth Wing (The Empyrean, #1)",Rebecca Yarros,527,https://www.goodreads.com/book/show/61431922-fourth-wing,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1701980900l/61431922._SY75_.jpg,4.57,"2,046,307 ",  2023
Verity (ebook),Colleen Hoover,527,https://www.goodreads.com/book/show/59344312-verity,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1634158558l/59344312._SY75_.jpg,4.31,"3,018,593 ",  2018
Beach Read (Paperback),Emily Henry,523,https://www.goodreads.com/book/show/52867387-beach-read,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1589881197l/52867387._SX50_.jpg,4.00,"1,297,599 ",  2020
People We Meet on Vacation (Paperback),Emily Henry,519,https://www.goodreads.com/book/show/54985743-people-we-meet-on-vacation,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1618913179l/54985743._SX50_.jpg,3.86,"1,288,658 ",  2021
"Shatter Me (Shatter Me, #1)",Tahereh Mafi,518,https://www.goodreads.com/book/show/10429045-shatter-me,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1310649047l/10429045._SY75_.jpg,3.85,"981,921 ",  2011
"The Spanish Love Deception (Spanish Love Deception, #1)",Elena  Armas,508,https://www.goodreads.com/book/show/54189398-the-spanish-love-deception,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1610900883l/54189398._SY75_.jpg,3.82,"729,544 ",  2021
Ugly Love (Kindle Edition),Colleen Hoover,480,https://www.goodreads.com/book/show/17788401-ugly-love,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1632597571l/17788401._SY75_.jpg,4.03,"2,000,733 ",  2014
We Were Liars (Kindle Edition),E. Lockhart,446,https://www.goodreads.com/book/show/16143347-we-were-liars,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1402749479l/16143347._SY75_.jpg,3.66,"1,197,948 ",  2014
"Twisted Love (Twisted, #1)",Ana Huang,435,https://www.goodreads.com/book/show/55817097-twisted-love,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1618487915l/55817097._SY75_.jpg,3.72,"1,103,024 ",  2021
"Icebreaker (UCMH, #1)",Hannah  Grace,430,https://www.goodreads.com/book/show/61767292-icebreaker,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1659045816l/61767292._SY75_.jpg,3.82,"937,655 ",  2022
"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,426,https://www.goodreads.com/book/show/50659468-a-court-of-mist-and-fury,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1620325671l/50659468._SY75_.jpg,4.65,"2,330,636 ",  2016
"Caraval (Caraval, #1)",Stephanie Garber,421,https://www.goodreads.com/book/show/27883214-caraval,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1465563623l/27883214._SY75_.jpg,3.98,"615,790 ",  2016
Daisy Jones & The Six (Hardcover),Taylor Jenkins Reid,408,https://www.goodreads.com/book/show/40597810-daisy-jones-the-six,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1580255154l/40597810._SY75_.jpg,4.20,"1,609,643 ",  2019
"Throne of Glass (Throne of Glass, #1)",Sarah J. Maas,387,https://www.goodreads.com/book/show/76703559-throne-of-glass,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1673566495l/76703559._SY75_.jpg,4.18,"1,754,927 ",  2012
"The Fine Print (Dreamland Billionaires, #1)",Lauren Asher,385,https://www.goodreads.com/book/show/74045390-the-fine-print,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1671865608l/74045390._SY75_.jpg,3.84,"551,228 ",  2021
